IPAddress,HardwareAddress,ClientId,ValidLifetime,ExpireTimestamp,SubnetId,Hostname
192.168.1.100,00:1a:2b:3c:4d:5e,01:02:03:04:05:06,86400,1679875199,1,laptop-1
192.168.1.101,00:0a:1b:2c:3d:4e,11:22:33:44:55:66,43200,1679896799,1,printer-1
192.168.1.102,00:aa:bb:cc:dd:ee,22:33:44:55:66:77,3600,1679900399,1,phone-1
192.168.1.103,00:11:22:33:44:55,33:44:55:66:77:88,7200,1679907599,1,tablet-1
192.168.1.104,00:aa:bb:cc:dd:ee,44:55:66:77:88:99,1800,1679909399,1,smart-tv-1
192.168.1.105,00:1a:2b:3c:4d:5e,55:66:77:88:99:aa,14400,1679923199,1,desktop-1
192.168.1.106,00:0a:1b:2c:3d:4e,66:77:88:99:aa:bb,10800,1679933999,1,printer-2
192.168.1.107,00:1a:2b:3c:4d:5e,77:88:99:aa:bb:cc,21600,1679947599,1,laptop-2
192.168.1.108,00:0a:1b:2c:3d:4e,88:99:aa:bb:cc:dd,28800,1679960399,1,phone-2
192.168.1.109,00:aa:bb:cc:dd:ee,99:aa:bb:cc:dd:ee,7200,1679967599,1,tablet-2
192.168.1.110,00:11:22:33:44:55,aa:bb:cc:dd:ee:ff,1800,1679969399,1,smart-tv-2
192.168.1.111,00:aa:bb:cc:dd:ee,bb:cc:dd:ee:ff:00,3600,1679972999,1,desktop-2
192.168.1.112,00:1a:2b:3c:4d:5e,cc:dd:ee:ff:00:11,14400,1679986799,1,laptop-3
192.168.1.113,00:0a:1b:2c:3d:4e,dd:ee:ff:00:11:22,28800,1680003599,1,printer-3
192.168.1.114,00:aa:bb:cc:dd:ee,ee:ff:00:11:22:33,7200,1680010799,1,phone-3
192.168.1.115,00:11:22:33:44:55,ff:00:11:22:33:44,3600,1680014399,1,tablet-3
192.168.1.116,00:aa:bb:cc:dd:ee,11:22:33:44:55:66,14400,1680028199,1,smart-tv-3
192.168.1.117,00:1a:2b:3c:4d:5e,22:33:44:55:66:77,1800,1680029999,1,desktop-3
192.168.1.118,00:0a:1b:2c:3d:4e,33:44:55:66:77:88,10800,1680040799,1,printer-4
192.168.1.119,00:aa:bb:cc:dd:ee,44:55:66:77:88:99,28800,1680053599,1,phone-4
